id,BHS27,BHS29,BHS33,BHS36,BHS40,BHS42,BHS53,BHS58,BIS1,BIS12,BIS2,BIS56,BIS59,BIS72,BIS9,ELK16,ELK17,ELK24,ELK48,ELK49,ELK54,ELK75,BLA20220921.D,BLA20220921.E,NEG20220928.ban,NEG20220928.sa,POS20220928.ban,POS20220928.sa
P107,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P108,0,0,0,0,0,16,0,0,0,0,0,136,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P109,32,0,7,21,6,0,9,0,22,5,1,5,5,36,36,0,6,2,33,15,15,1,0,0,0,0,0,0
P110,9,0,9,98,0,1,12,0,8,0,0,40,4,30,7,0,0,2,3,22,0,0,0,0,0,0,0,0
P111,30,29,5,5,1,1,1,0,33,16,10,3,1,39,3,10,10,17,0,28,0,3,0,0,0,0,0,0
P112,0,0,7,45,17,0,43,0,0,0,0,46,6,8,13,0,0,0,0,37,0,23,0,0,0,0,0,0
P113,107,0,0,0,0,0,0,0,23,0,0,13,8,0,71,0,10,0,0,0,0,5,0,0,0,0,0,0
P114,0,0,11,27,0,0,0,0,0,0,21,0,0,0,0,0,0,117,3,30,0,0,0,0,0,0,0,0
P115,0,0,0,0,0,5,0,0,192,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P116,0,0,0,0,0,0,0,0,35,66,3,2,1,48,0,0,38,2,0,0,0,0,0,0,0,0,0,0
P117,0,57,0,84,0,3,0,6,0,18,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P118,0,0,0,0,0,0,0,0,27,0,0,0,24,84,46,0,0,0,7,0,0,0,0,0,0,0,0,0
P119,47,0,0,0,0,7,11,0,0,0,0,39,11,21,0,0,0,12,31,0,0,0,0,0,0,0,0,0
P120,50,0,0,41,0,1,11,2,1,0,0,11,30,20,1,0,0,0,0,6,1,1,0,0,0,0,0,0
